round,condition,variant,ad_name,impressions,reach,frequency,spend,clicks,link_clicks,ctr,link_ctr,reactions,comments,shares,saves,video_3s_views,thruplays,video_p100
2,Neutral,1,WC_neutral_1,17563,16518,1.063264,9.85,105,61,0.597848,0.347321,195,1,7,4,4375,1084,214
2,Neutral,2,WC_neutral_2,18293,17582,1.040439,9.89,97,62,0.530257,0.338927,175,1,13,2,2730,842,241
2,Neutral,3,WC_neutral_3,17347,16501,1.05127,9.84,89,51,0.513057,0.293999,162,2,8,2,2753,910,172
2,Empathy,1,WC_empathy_1,17203,16909,1.017387,9.88,113,69,0.656862,0.401093,168,4,12,0,3978,941,234
2,Empathy,2,WC_empathy_2,21042,18960,1.10981,9.87,96,56,0.45623,0.266134,216,0,17,4,2912,802,164
2,Empathy,3,WC_empathy_3,19312,17582,1.098396,9.88,120,74,0.621375,0.383181,198,3,15,2,3069,995,237
2,Social Norm,1,WC_socialnorm_1,18444,16243,1.135505,9.83,99,72,0.53676,0.390371,158,2,8,3,4241,1015,128
2,Social Norm,2,WC_socialnorm_2,17967,16423,1.094014,9.86,102,62,0.567707,0.345077,164,0,7,0,3008,904,125
2,Social Norm,3,WC_socialnorm_3,19129,17555,1.089661,9.87,78,50,0.407758,0.261383,152,2,10,2,2870,1006,130
2,Narrative,1,WC_narrative_1,15093,14384,1.049291,9.87,120,66,0.795071,0.437289,147,2,11,5,3616,916,181
2,Narrative,2,WC_narrative_2,18494,17709,1.044328,9.89,113,65,0.611009,0.351465,159,2,6,2,2786,924,210
2,Narrative,3,WC_narrative_3,18207,17360,1.04879,9.87,103,60,0.565716,0.329544,190,4,7,2,2728,950,168
